datetime,y
4/11/2013,7.5
4/12/2013,7.37
4/15/2013,7.25
4/16/2013,7.36
4/17/2013,7.3
4/18/2013,7.44
4/19/2013,7.6
4/22/2013,7.8
4/23/2013,7.47
4/24/2013,7.69
4/25/2013,7.56
4/26/2013,7.5
5/2/2013,7.5
5/3/2013,7.6
5/6/2013,7.7
5/7/2013,7.7
5/8/2013,8.22
5/9/2013,8.18
5/10/2013,8.11
5/13/2013,8.56
5/14/2013,8.92
5/15/2013,9.03
5/16/2013,9.14
5/17/2013,9.31
5/20/2013,9.2
5/21/2013,9.22
5/22/2013,9.28
5/23/2013,9.06
5/24/2013,9.79
5/28/2013,10.77
5/29/2013,11.18
5/30/2013,11.4
5/31/2013,11.04
6/3/2013,11.14
6/4/2013,10.75
6/5/2013,11.58
6/6/2013,11.2
6/7/2013,11.34
6/13/2013,10.8
6/14/2013,11.26
6/17/2013,11.23
6/18/2013,11.45
6/19/2013,11.96
6/20/2013,11.29
6/21/2013,11.03
6/24/2013,10.12
6/25/2013,9.98
6/26/2013,10.12
6/27/2013,9.43
6/28/2013,9.27
7/1/2013,9.63
7/2/2013,9.85
7/3/2013,10.02
7/4/2013,9.99
7/5/2013,9.78
7/8/2013,8.97
7/9/2013,8.64
7/10/2013,9.14
7/11/2013,9.44
7/12/2013,9.13
7/15/2013,9.55
7/16/2013,9.54
7/17/2013,8.89
7/18/2013,8.83
7/19/2013,8.31
7/22/2013,8.37
7/23/2013,8.75
7/24/2013,8.6
7/25/2013,8.77
7/26/2013,8.66
7/29/2013,8.47
7/30/2013,8.38
7/31/2013,8.64
8/1/2013,8.88
8/2/2013,9.11
8/5/2013,9.24
8/6/2013,9.15
8/7/2013,8.99
8/8/2013,9.33
8/9/2013,9.24
8/12/2013,9.63
8/13/2013,9.5
8/14/2013,9.33
8/15/2013,9.24
8/16/2013,9.04
8/19/2013,9.29
8/20/2013,9.16
8/21/2013,9.35
8/22/2013,9.18
8/23/2013,8.89
8/26/2013,9.05
8/27/2013,9
8/28/2013,8.85
8/29/2013,8.7
8/30/2013,8.68
9/2/2013,8.89
9/3/2013,9.03
9/4/2013,9.01
9/5/2013,9.21
9/6/2013,9.11
9/9/2013,9.12
9/10/2013,9.22
9/11/2013,9.44
9/12/2013,9.3
